,OpenTime,OpenPrice,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,Number of Trades
4393,1587607200000.0,7182.71,7182.71,7140.35,7140.35,0.619736,1587610800000.0,4431.0503,5.0
4394,1587610800000.0,7128.51,7162.83,7122.0,7124.53,0.28455,1587614400000.0,2033.5361,7.0
4395,1587614400000.0,7117.34,7135.95,7108.12,7135.95,0.418774,1587618000000.0,2983.5007,11.0
4396,1587618000000.0,7134.75,7136.2,7114.03,7115.58,0.63037,1587621700000.0,4487.8286,15.0
4397,1587621700000.0,7053.45,7076.47,7039.61,7048.14,1.068671,1587625200000.0,7534.1426,19.0
4398,1587625200000.0,7042.8,7076.69,7042.09,7061.85,0.490775,1587628700000.0,3467.3828,19.0
4399,1587628700000.0,7061.85,7100.52,7059.68,7091.81,0.839441,1587632400000.0,5942.421,20.0
4400,1587632400000.0,7080.04,7103.08,7063.87,7099.46,0.76542,1587636000000.0,5414.1826,25.0
4401,1587636000000.0,7091.64,7091.64,7069.98,7069.98,0.608429,1587639600000.0,4306.867,9.0
4402,1587639600000.0,7099.18,7132.37,7099.18,7132.37,0.449548,1587643200000.0,3201.6917,5.0
4403,1587643200000.0,7151.13,7186.39,7124.68,7177.06,1.01943,1587646800000.0,7302.8926,20.0
4404,1587646800000.0,7164.86,7258.1,7163.45,7247.6,1.651036,1587650400000.0,11933.998,30.0
4405,1587650400000.0,7258.18,7747.63,7258.18,7547.59,11.473987,1587654000000.0,86092.1,212.0
4406,1587654000000.0,7556.95,7556.95,7478.04,7527.92,1.487085,1587657600000.0,11158.488,30.0
4407,1587657600000.0,7579.63,7597.86,7500.02,7511.03,3.499564,1587661200000.0,26322.168,56.0
4408,1587661200000.0,7535.64,7557.8,7530.04,7554.0,0.426387,1587664800000.0,3215.109,17.0
4409,1587664800000.0,7573.87,7573.87,7522.7,7535.72,0.992677,1587668500000.0,7481.016,17.0
4410,1587668500000.0,7539.79,7541.54,7512.82,7541.54,1.741453,1587672000000.0,13102.734,27.0
4411,1587672000000.0,7535.41,7535.41,7533.14,7533.14,0.106226,1587675700000.0,800.24054,2.0
4412,1587675700000.0,7560.75,7594.3,7560.75,7594.3,0.175157,1587679200000.0,1325.2882,4.0
4413,1587679200000.0,7597.69,7597.69,7558.48,7558.48,0.189756,1587682700000.0,1435.2828,5.0
4414,1587682700000.0,7513.68,7513.68,7460.17,7460.17,0.264901,1587686400000.0,1980.3127,6.0
4415,1587686400000.0,7516.11,7527.08,7493.58,7493.58,0.222028,1587690000000.0,1668.4186,10.0
4416,1587690000000.0,7503.2,7519.01,7477.02,7477.02,0.666687,1587693600000.0,5004.8125,38.0
4417,1587693600000.0,7484.23,7533.62,7484.23,7525.84,0.183332,1587697200000.0,1375.4858,11.0
4418,1587697200000.0,7514.2,7546.98,7514.2,7524.18,0.23596,1587700800000.0,1776.3622,16.0
4419,1587700800000.0,7538.66,7547.27,7510.16,7545.3,0.30109,1587704400000.0,2266.2021,15.0
4420,1587704400000.0,7525.89,7525.89,7522.81,7522.81,0.100604,1587708000000.0,756.84283,2.0
4421,1587708000000.0,7522.81,7522.81,7522.81,7522.81,0.0,1587711600000.0,0.0,0.0
4422,1587711600000.0,7526.31,7591.62,7526.31,7586.78,0.317757,1587715200000.0,2404.3027,9.0
4423,1587715200000.0,7569.15,7569.15,7533.77,7548.78,1.053666,1587718800000.0,7951.026,19.0
4424,1587718800000.0,7564.16,7607.6,7564.16,7599.47,0.1576,1587722500000.0,1196.9636,9.0
4425,1587722500000.0,7564.9,7564.9,7506.86,7535.49,0.481855,1587726000000.0,3635.998,12.0
4426,1587726000000.0,7526.11,7617.98,7488.8,7491.59,13.318431,1587729700000.0,100796.74,140.0
4427,1587729700000.0,7489.2,7507.39,7463.05,7505.32,1.055841,1587733200000.0,7894.0996,28.0
4428,1587733200000.0,7515.86,7515.86,7493.27,7496.87,0.329783,1587736700000.0,2476.0935,11.0
4429,1587736700000.0,7432.45,7509.02,7416.93,7498.8,1.925386,1587740400000.0,14387.172,34.0
4430,1587740400000.0,7494.73,7522.81,7489.76,7510.58,0.406763,1587744000000.0,3053.7861,9.0
4431,1587744000000.0,7493.83,7508.34,7490.96,7508.34,0.297868,1587747600000.0,2232.3835,6.0
4432,1587747600000.0,7509.07,7509.07,7503.24,7504.62,0.247735,1587751200000.0,1859.1702,6.0
4433,1587751200000.0,7521.74,7542.37,7519.88,7519.88,1.399622,1587754800000.0,10538.268,20.0
4434,1587754800000.0,7516.85,7529.52,7511.49,7529.52,0.175823,1587758400000.0,1322.5638,8.0
4435,1587758400000.0,7545.41,7545.41,7530.87,7530.87,0.095929,1587762000000.0,723.2552,4.0
4436,1587762000000.0,7549.18,7549.18,7511.3,7511.3,0.112346,1587765600000.0,846.03076,8.0
4437,1587765600000.0,7505.15,7512.42,7493.73,7493.73,0.242311,1587769200000.0,1816.3733,8.0
4438,1587769200000.0,7504.19,7508.58,7498.33,7508.58,0.718241,1587772800000.0,5387.3887,8.0
4439,1587772800000.0,7486.41,7488.34,7445.81,7452.17,0.817104,1587776500000.0,6105.431,17.0
4440,1587776500000.0,7462.54,7487.0,7462.54,7487.0,0.043031,1587780000000.0,321.68445,2.0
4441,1587780000000.0,7487.0,7487.0,7487.0,7487.0,0.0,1587783700000.0,0.0,0.0
4442,1587783700000.0,7487.0,7487.0,7487.0,7487.0,0.0,1587787200000.0,0.0,0.0
4443,1587787200000.0,7527.19,7527.19,7527.19,7527.19,0.004382,1587790700000.0,32.984146,1.0
4444,1587790700000.0,7536.77,7553.53,7533.84,7549.93,0.3902,1587794400000.0,2942.9673,13.0
4445,1587794400000.0,7552.18,7587.03,7552.18,7584.78,0.179795,1587798000000.0,1360.8341,7.0
4446,1587798000000.0,7565.5,7572.5,7553.98,7553.98,0.47993,1587801600000.0,3631.3408,16.0
4447,1587801600000.0,7576.68,7576.68,7522.5,7553.35,1.158896,1587805200000.0,8731.128,17.0
4448,1587805200000.0,7550.96,7569.78,7547.53,7569.78,0.16578,1587808800000.0,1253.2896,3.0
4449,1587808800000.0,7559.43,7570.55,7550.88,7570.55,0.277105,1587812400000.0,2094.8572,3.0
4450,1587812400000.0,7578.34,7584.36,7525.72,7552.34,1.333643,1587816000000.0,10080.816,30.0
4451,1587816000000.0,7541.33,7541.33,7539.34,7539.34,0.068658,1587819600000.0,517.6934,2.0
4452,1587819600000.0,7574.06,7589.08,7565.85,7581.89,0.329511,1587823200000.0,2499.4375,6.0
4453,1587823200000.0,7592.14,7599.03,7557.8,7588.62,0.452639,1587826800000.0,3432.2556,10.0
4454,1587826800000.0,7576.65,7690.08,7547.84,7547.84,5.016704,1587830500000.0,38253.254,78.0
